,learning_rate,overall_accuracy
0,0.0001,69.7916666667
1,0.0002,79.1666666667
2,0.0003,82.5520833333
3,0.0004,81.25
4,0.0005,88.5416666667
5,0.0006,88.28125
6,0.0007,86.4583333333
7,0.0008,86.4583333333
8,0.0009,90.3645833333
9,0.001,87.5
10,0.0012,89.3229166667
11,0.0014,84.8958333333
12,0.0016,85.15625
13,0.0018,82.8125
14,0.002,84.1145833333
15,0.0022,82.8125
16,0.0024,85.15625
17,0.0026,82.2916666667
18,0.0028,81.5104166667
19,0.003,80.2083333333
20,0.002,84.6354166667
21,0.003,77.34375
22,0.004,78.90625
23,0.005,72.9166666667
24,0.01,25.78125
25,0.02,20.5729166667
26,0.03,15.625
27,0.04,18.4895833333
28,0.05,12.5
29,0.1,26.5625
30,0.2,8.59375
31,0.3,15.8854166667
32,0.4,12.5
33,0.5,10.6770833333
